ano	uf	cod	mun	bran1	bran2	nulo1	nulo2	vali1	vali2
1989	AC	1200013	Acrelândia	NA	NA	NA	NA	NA	NA
1989	AC	1200054	Assis Brasil	42	16	94	36	1300	1379
1989	AC	1200104	Brasiléia	154	87	519	194	6556	6637
1989	AC	1200138	Bujari	NA	NA	NA	NA	NA	NA
1989	AC	1200179	Capixaba	NA	NA	NA	NA	NA	NA
1989	AC	1200203	Cruzeiro do Sul	242	215	1185	548	14900	16032
1989	AC	1200252	Epitaciolândia	NA	NA	NA	NA	NA	NA
1989	AC	1200302	Feijó	127	124	384	224	4081	4030
1989	AC	1200328	Jordão	NA	NA	NA	NA	NA	NA
1989	AC	1200336	Mâncio Lima	47	24	232	145	2371	2573
1989	AC	1200344	Manoel Urbano	29	39	71	27	1181	1258
1989	AC	1200351	Marechal Thaumaturgo	NA	NA	NA	NA	NA	NA
1989	AC	1200385	Plácido de Castro	223	130	441	214	5770	5793
1989	AC	1200393	Porto Walter	NA	NA	NA	NA	NA	NA
1989	AC	1200401	Rio Branco	1215	939	5269	3600	71905	70799
1989	AC	1200427	Rodrigues Alves	NA	NA	NA	NA	NA	NA
1989	AC	1200435	Santa Rosa do Purus	NA	NA	NA	NA	NA	NA
1989	AC	1200450	Senador Guiomard	251	143	502	209	4817	4996
1989	AC	1200500	Sena Madureira	171	146	322	165	5663	5808
1989	AC	1200609	Tarauacá	118	86	337	179	5074	5164
1989	AC	1200708	Xapuri	54	56	270	124	4392	4329
1989	AC	1200807	Porto Acre	NA	NA	NA	NA	NA	NA
1989	AL	2700102	Água Branca	236	188	1279	464	10325	10923
1989	AL	2700201	Anadia	143	107	603	339	6608	6862
1989	AL	2700300	Arapiraca	1010	841	4193	2386	52056	53460
1989	AL	2700409	Atalaia	480	327	1559	742	15024	15901
1989	AL	2700508	Barra de Santo Antônio	234	187	599	332	6158	6547
1989	AL	2700607	Barra de São Miguel	80	56	189	102	1906	1964
1989	AL	2700706	Batalha	132	106	365	173	5367	5700
1989	AL	2700805	Belém	131	88	260	150	2411	2621
1989	AL	2700904	Belo Monte	77	43	118	52	2244	2399
1989	AL	2701001	Boca da Mata	319	239	729	348	9571	9959
1989	AL	2701100	Branquinha	164	118	290	157	3079	3471
1989	AL	2701209	Cacimbinhas	138	86	258	138	4001	4656
1989	AL	2701308	Cajueiro	261	123	1006	493	5790	6455
1989	AL	2701357	Campestre	NA	NA	NA	NA	NA	NA
1989	AL	2701407	Campo Alegre	361	214	733	310	8620	9180
1989	AL	2701506	Campo Grande	95	73	288	127	3712	4014
1989	AL	2701605	Canapi	244	104	546	206	6492	6702
1989	AL	2701704	Capela	325	194	856	502	7362	7764
1989	AL	2701803	Carneiros	105	53	188	105	2821	2964
1989	AL	2701902	Chã Preta	133	76	296	177	3679	3777
1989	AL	2702009	Coité do Nóia	115	87	402	183	3643	3913
1989	AL	2702108	Colônia Leopoldina	401	258	705	471	8326	8338
1989	AL	2702207	Coqueiro Seco	112	58	271	153	2143	2279
1989	AL	2702306	Coruripe	513	392	1124	612	14761	15338
1989	AL	2702355	Craíbas	179	168	687	321	6340	6703
1989	AL	2702405	Delmiro Gouveia	474	366	954	907	15334	15408
1989	AL	2702504	Dois Riachos	162	100	298	152	4070	4318
