##=============================================================================
## Dados retirados do http://www.whoscored.com/Regions/250/Tournaments/30/Seasons/3871/Stages/8466/TeamStatistics/Europe-UEFA-Europa-League-2013-2014
## country: País de origem do jogador;
## team   : Time no qual joga;
## name   : Nome do jogador;
## pos    : Posição em que joga;
##   FW      : forward;
##   AM      : attack midfielder;
##   M       : midfielder;
##   DM      : defender midfielder;
##   D       : defender;
##   GK      : goalkeeper;
##   C, L, R : center, left, right;
## age    : Idade (anos);
## cm     : altura (cm);
## kg     : Peso (kg);
## apps   : Vezes que jogou como titular (vezes que jogou como substituto);
## goal   : Gols feitos;
## a      : Assistências ou passes para gol;
## yel    : Número de cartões amarelos;
## red    : Número de cartões vermelhos;
## spg    : Chutes a gol por partida;
## ps     : Porcentagem de passes com sucesso;
## aw     : Duelos aéreos ganho por jogo;
## mom    : Man of the match (homem da partida)??
## rt     : Average rating;
##=============================================================================
country	team	name	pos	age	cm	kg	apps	goal	ass	yel	red	spg	ps	aw	mom	rt
Austria	Salzburg	Sadio Mané	M(L)	21	175	69	9	4	3	1	1	2	77	1.2	3	7.98
Austria	Salzburg	Kevin Kampl	M(R)	23	180	63	9	2	4	2	NA	2	83.9	0.3	1	7.93
Austria	Salzburg	Alan	FW	24	182	73	8(1)	4	2	NA	1	4.2	60.8	3.8	2	7.91
Austria	Salzburg	André Ramalho	D(C)	22	182	77	9	1	NA	4	NA	0.9	72.3	3.2	1	7.67
Austria	Salzburg	Stefan Hierländer	M	23	180	71	1(1)	NA	NA	NA	NA	0.5	86.3	3	NA	7.59
Austria	Salzburg	Christoph Leitgeb	M(C)	28	172	69	7(1)	NA	1	3	NA	1.6	79.4	0.5	NA	7.55
Austria	Salzburg	Jonatan Soriano	FW	28	180	71	7	8	1	1	NA	4.1	72.8	0.3	NA	7.54
Austria	Salzburg	Stefan Ilsanker	M(C)	24	186	74	8(1)	NA	NA	1	NA	0.8	74.7	4	NA	7.46
Austria	Salzburg	Martin Hinteregger	D(C)	21	184	78	8(1)	NA	NA	3	NA	1.1	69.1	3.4	NA	7.38
Austria	Salzburg	Andreas Ulmer	D(L)	28	175	69	8	NA	NA	NA	NA	0.9	64.5	2.8	NA	7.27
Austria	Salzburg	Christian Schwegler	D(R)	29	177	73	8	NA	1	3	NA	0.5	71.5	1.6	NA	7.14
Austria	Salzburg	Florian Klein	D	27	180	68	3(2)	NA	NA	1	NA	1	79.8	1.4	NA	7.08
Austria	Salzburg	Rodnei	D(C)	28	190	90	3	NA	NA	1	NA	0.3	88.6	1.7	NA	7.07
Austria	Salzburg	Peter Gulacsi	GK	23	190	75	10	NA	NA	NA	NA	NA	56.1	0.3	NA	6.97
Austria	Salzburg	Franz Schiemer	D	28	185	77	2(2)	NA	NA	NA	NA	0.5	68.9	1.3	NA	6.87
Austria	Salzburg	Valon Berisha	M	21	181	75	4(5)	NA	2	NA	NA	0.8	72.2	1.8	NA	6.73
Austria	Salzburg	Marco Meilinger	M	22	181	77	1(3)	1	NA	NA	NA	1	71.8	1	1	6.71
Austria	Salzburg	Dusan Svento	M	28	178	70	3(2)	1	1	NA	NA	1	68.6	0.6	NA	6.64
Austria	Salzburg	Georg Teigl	M	23	178	74	0(2)	NA	NA	NA	NA	1	75	NA	NA	6.4
Austria	Salzburg	Havard Nielsen	FW	20	187	80	1(3)	NA	NA	NA	NA	0.8	69.4	0.8	NA	6.21
Austria	Salzburg	Robert Zulj	M	22	189	81	1(3)	NA	NA	NA	NA	0.3	53.7	1.8	NA	6.15
Austria	Salzburg	Valentino Lazaro	M	18	180	73	0(1)	NA	NA	NA	NA	NA	100	NA	NA	6
Austria	Salzburg	Yordy Reyna	FW	20	169	68	0(2)	NA	NA	1	NA	0.5	100	NA	NA	5.94
Austria	Salzburg	Alexander Walke	GK	30	189	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Juventus	Carlos Tévez	AM(CL),FW	30	173	75	26(3)	18	6	4	NA	3.8	82.3	0.4	5	7.71
Italy	Juventus	Paul Pogba	DM(C)	21	186	80	26(3)	6	5	4	NA	1.9	83.5	2.2	4	7.61
Italy	Juventus	Giorgio Chiellini	D(CL)	29	186	76	25	3	3	4	NA	0.9	91	3.2	2	7.58
Italy	Juventus	Andrea Pirlo	M(C)	34	177	68	23(1)	4	4	4	NA	1.7	88.5	0.2	3	7.56
Italy	Juventus	Arturo Vidal	M(C)	26	180	75	28(2)	11	5	8	NA	1.9	83.8	1.4	5	7.52
Italy	Juventus	Kwadwo Asamoah	DM(C),M(L)	25	178	78	26(2)	2	3	6	NA	1	85	0.8	1	7.28
Italy	Juventus	Leonardo Bonucci	D(C)	26	190	82	25	2	3	7	NA	0.4	89.7	1.2	NA	7.14
Italy	Juventus	Fernando Llorente	FW	29	195	90	23(5)	11	4	3	NA	1.8	72.4	2.8	3	7.11
Italy	Juventus	Andrea Barzagli	D(C)	32	186	79	22	NA	NA	3	NA	0.1	90.7	1.1	NA	6.95
Italy	Juventus	Claudio Marchisio	M(CL)	28	179	76	15(7)	2	NA	5	NA	1.4	87	0.4	NA	6.92
Italy	Juventus	Angelo Obinze Ogbonna	D(C)	25	189	86	9(2)	NA	NA	1	1	0.2	89.8	2.4	NA	6.91
Italy	Juventus	Paolo De Ceglie	D(L),M(L)	27	184	75	2(2)	NA	NA	NA	NA	0.5	83.5	1.5	NA	6.9
Italy	Juventus	Martín Cáceres	D(CLR),M(R)	26	182	77	11(2)	NA	NA	1	NA	0.2	89.7	1.2	NA	6.89
Italy	Juventus	Gianluigi Buffon	GK	36	191	83	28	NA	NA	NA	1	NA	79.7	NA	2	6.88
Italy	Juventus	Stephan Lichtsteiner	D(R),M(R)	30	180	77	19(2)	2	6	3	NA	0.8	75.4	1.2	1	6.87
Italy	Juventus	Mauricio Isla	D(R),M(CR)	25	177	72	8(7)	NA	1	1	NA	0.5	83.1	0.7	NA	6.74
Italy	Juventus	Federico Peluso	D(CL),M(L)	30	187	71	3(5)	1	1	2	NA	0.1	82.7	1	NA	6.71
Italy	Juventus	Mirko Vucinic	AM(L),FW	30	186	76	4(6)	2	NA	2	NA	1.1	70.7	0.3	NA	6.4
Italy	Juventus	Marco Storari	GK	37	187	76	3(1)	NA	NA	NA	NA	NA	73.1	NA	NA	6.34
Italy	Juventus	Sebastian Giovinco	AM(CLR),FW	27	164	59	3(10)	1	1	2	NA	1.2	75	NA	NA	6.32
Italy	Juventus	Simone Padoin	DM(C),M(LR)	30	179	73	6(11)	NA	NA	1	NA	0.1	89.1	0.2	NA	6.26
Italy	Juventus	Fabio Quagliarella	AM(C),FW	31	180	79	3(13)	1	NA	1	NA	1.4	78.1	0.3	NA	6.19
Italy	Juventus	Marco Motta	D(R),M(R)	27	186	76	0(2)	NA	NA	1	NA	NA	91.7	NA	NA	5.95
Italy	Juventus	Pablo Daniel Osvaldo	AM(CL),FW	28	182	81	3(4)	NA	1	1	NA	1.3	75.7	1	NA	5.95
Italy	Juventus	Alessandro Matri	FW	29	183	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Juventus	Federico Mattiello	M	18	182	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Juventus	Filippo Penna	D	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Juventus	Filippo Romagna	D	16	185	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Juventus	Gianmarco Vannucchi	GK	18	179	68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Juventus	Leonardo Citti	GK	18	186	78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Italy	Juventus	Luca Marrone	D(C),DM(C)	24	186	75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
