uf	cod	estado	urbana	rural	ano	prop_urb
AC	12	Acre	131930	169346	1980	43.79041144996614
AL	27	Alagoas	977161	1005754	1980	49.27901599412986
AM	13	Amazonas	856716	573812	1980	59.88809726198998
AP	16	Amapá	103719	71539	1980	59.180750664734276
BA	29	Bahia	4660499	4794893	1980	49.28932613264474
CE	23	Ceará	2810373	2478056	1980	53.141925513228976
DF	53	Distrito Federal	1138994	37914	1980	96.77850775081825
ES	32	Espírito Santo	1293139	730199	1980	63.91117055084222
GO	52	Goiás	2107923	1013202	1980	67.53728222996516
MA	21	Maranhão	1254830	2741614	1980	31.398663411773065
MG	31	Minas Gerais	8983371	4396734	1980	67.13976459825987
MS	50	Mato Grosso do Sul	919256	450513	1980	67.11029377946208
MT	51	Mato Grosso	655141	483777	1980	57.523105263065474
PA	15	Pará	1666993	1736505	1980	48.97881532470417
PB	25	Paraíba	1449206	1321140	1980	52.311371936934954
PE	26	Pernambuco	3784990	2358513	1980	61.60963867031562
PI	22	Piauí	897812	1241384	1980	41.969599793567305
PR	41	Paraná	4472506	3157343	1980	58.618538846574815
RJ	33	Rio de Janeiro	10368387	923244	1980	91.82364354626891
RN	24	Rio Grande do Norte	1115279	783556	1980	58.73490850969147
RO	11	Rondônia	228168	262857	1980	46.46769512753933
RR	14	Roraima	48738	30383	1980	61.599322556590536
RS	43	Rio Grande do Sul	5250024	2523825	1980	67.53442213760519
SC	42	Santa Catarina	2154250	1474042	1980	59.37366672803622
SE	28	Sergipe	617851	522528	1980	54.17944385156163
SP	35	São Paulo	22196896	2845178	1980	88.63840910301599
TO	17	Tocantins	293175	445874	1980	39.66922355621887
AC	12	Acre	258520	159198	1991	61.88864257704959
AL	27	Alagoas	1482033	1032067	1991	58.948848494491074
AM	13	Amazonas	1502754	600489	1991	71.4493760350088
AP	16	Amapá	234131	55266	1991	80.90305013528129
BA	29	Bahia	7016770	4851221	1991	59.12348602219196
CE	23	Ceará	4162007	2204640	1991	65.37203963090776
DF	53	Distrito Federal	1515889	85205	1991	94.67832619446453
ES	32	Espírito Santo	1924588	676030	1991	74.00502495945194
GO	52	Goiás	3247676	771227	1991	80.81001208538748
MA	21	Maranhão	1972421	2957832	1991	40.006486482539536
MG	31	Minas Gerais	11786893	3956259	1991	74.86996886011137
MS	50	Mato Grosso do Sul	1414447	365926	1991	79.44666651314078
MT	51	Mato Grosso	1485110	542121	1991	73.25805495279029
PA	15	Pará	2596388	2353672	1991	52.45164705074282
PB	25	Paraíba	2052066	1149048	1991	64.10474603528647
PE	26	Pernambuco	5051654	2076201	1991	70.8720084794093
PI	22	Piauí	1367184	1214953	1991	52.94777155511113
PR	41	Paraná	6197953	2250760	1991	73.35972946412075
RJ	33	Rio de Janeiro	12199641	608065	1991	95.25235042091066
RN	24	Rio Grande do Norte	1669267	746300	1991	69.1045622000963
RO	11	Rondônia	659327	473365	1991	58.20885112634326
RR	14	Roraima	140818	76765	1991	64.71921060009284
RS	43	Rio Grande do Sul	6996542	2142128	1991	76.55974009347094
SC	42	Santa Catarina	3208537	1333457	1991	70.64159485899805
SE	28	Sergipe	1002877	488999	1991	67.22254396477992
SP	35	São Paulo	29314861	2274064	1991	92.80107189465929
TO	17	Tocantins	530636	389227	1991	57.686416346782075
AC	12	Acre	370267	187259	2000	66.41250811621342
AL	27	Alagoas	1919739	902882	2000	68.01263789931414
AM	13	Amazonas	2107222	705335	2000	74.92193047109801
AP	16	Amapá	424683	52349	2000	89.02610307065355
BA	29	Bahia	8772348	4297902	2000	67.11691054111436
CE	23	Ceará	5315318	2115343	2000	71.53223649955233
DF	53	Distrito Federal	1961499	89647	2000	95.62941887120664
ES	32	Espírito Santo	2463049	634183	2000	79.5242009639575
GO	52	Goiás	4396645	606583	2000	87.87616714649023
MA	21	Maranhão	3364070	2287405	2000	59.5255220982133
MG	31	Minas Gerais	14671828	3219666	2000	82.00448771913625
MS	50	Mato Grosso do Sul	1747106	330895	2000	84.07628292767906
MT	51	Mato Grosso	1987726	516627	2000	79.37083949427257
PA	15	Pará	4120693	2071614	2000	66.545360234885
PB	25	Paraíba	2447212	996613	2000	71.06086981771722
PE	26	Pernambuco	6058249	1860095	2000	76.5090402740775
PI	22	Piauí	1788590	1054688	2000	62.90591352657039
PR	41	Paraná	7786084	1777374	2000	81.41494425970188
RJ	33	Rio de Janeiro	13821466	569816	2000	96.04054732580461
RN	24	Rio Grande do Norte	2036673	740109	2000	73.34652126094163
RO	11	Rondônia	884523	495264	2000	64.10576415055367
RR	14	Roraima	247016	77381	2000	76.14620357154968
RS	43	Rio Grande do Sul	8317984	1869814	2000	81.64653441303018
SC	42	Santa Catarina	4217931	1138429	2000	78.74621944753527
SE	28	Sergipe	1273226	511249	2000	71.35017302007593
SP	35	São Paulo	34592851	2439552	2000	93.41238536424439
TO	17	Tocantins	859961	297137	2000	74.32049835018296
AC	12	Acre	532279	201280	2010	72.56117094875805
AL	27	Alagoas	2297860	822634	2010	73.63769967191092
AM	13	Amazonas	2755490	728495	2010	79.09017977976369
AP	16	Amapá	601036	68490	2010	89.77037486221596
BA	29	Bahia	10102476	3914430	2010	72.07350894698159
CE	23	Ceará	6346557	2105824	2010	75.08602605585338
DF	53	Distrito Federal	2482210	87950	2010	96.57803405235472
ES	32	Espírito Santo	2931472	583480	2010	83.40005781017778
GO	52	Goiás	5420714	583074	2010	90.288231363266
MA	21	Maranhão	4147149	2427640	2010	63.07653371081566
MG	31	Minas Gerais	16715216	2882114	2010	85.29333332652969
MS	50	Mato Grosso do Sul	2097238	351786	2010	85.63566547326609
MT	51	Mato Grosso	2482801	552321	2010	81.80234600124805
PA	15	Pará	5191559	2389492	2010	68.4807291231783
PB	25	Paraíba	2838678	927850	2010	75.36590727587847
PE	26	Pernambuco	7052210	1744238	2010	80.17110997529912
PI	22	Piauí	2049307	1060985	2010	65.88792949343663
PR	41	Paraná	8912692	1531834	2010	85.33361877791295
RJ	33	Rio de Janeiro	15464239	525690	2010	96.71236814122189
RN	24	Rio Grande do Norte	2464991	703036	2010	77.80839620369397
RO	11	Rondônia	1149180	413229	2010	73.55180365704499
RR	14	Roraima	344859	105620	2010	76.55384601723942
RS	43	Rio Grande do Sul	9100291	1593638	2010	85.09773161950112
SC	42	Santa Catarina	5247913	1000523	2010	83.98762506329584
SE	28	Sergipe	1520366	547651	2010	73.51806102174208
SP	35	São Paulo	39585251	1676948	2010	95.93587341285422
TO	17	Tocantins	1090106	293339	2010	78.79648269356571
AC	12	Acre	21272	93483	1950	18.53688292449131
AL	27	Alagoas	286379	806758	1950	26.19790566049818
AM	13	Amazonas	137736	376363	1950	26.791726885288632
AP	16	Amapá	20334	17143	1950	54.25727779704886
BA	29	Bahia	1345474	3489101	1950	27.830243609831268
CE	23	Ceará	687064	2008386	1950	25.489769797250922
DF	53	Distrito Federal	NA	NA	1950	NA
ES	32	Espírito Santo	202186	755052	1950	21.12181087670987
GO	52	Goiás	219371	791510	1950	21.700971726642404
MA	21	Maranhão	275491	1307757	1950	17.400369367275374
MG	31	Minas Gerais	1432755	6349433	1950	18.410696323450424
MS	50	Mato Grosso do Sul	124231	185164	1950	40.152879005801644
MT	51	Mato Grosso	97402	115247	1950	45.80411852395262
PA	15	Pará	389008	734265	1950	34.63165232316632
PB	25	Paraíba	456716	1256543	1950	26.657732426912684
PE	26	Pernambuco	1169786	2225980	1950	34.44836893943811
PI	22	Piauí	170484	875212	1950	16.303399840871535
PR	41	Paraná	528288	1587259	1950	24.971697627138514
RJ	33	Rio de Janeiro	3394422	1280223	1950	72.61347118337328
RN	24	Rio Grande do Norte	260319	707602	1950	26.894653592596917
RO	11	Rondônia	13816	23119	1950	37.40625423040476
RR	14	Roraima	5132	12984	1950	28.328549348642085
RS	43	Rio Grande do Sul	1421980	2742841	1950	34.14264382550895
SC	42	Santa Catarina	361704	1198798	1950	23.178695060948336
SE	28	Sergipe	204484	439877	1950	31.734384917771248
SP	35	São Paulo	4871988	4262435	1950	53.33657090327435
TO	17	Tocantins	26297	177744	1950	12.888096019917565
AC	12	Acre	33534	125318	1960	21.110215798353185
AL	27	Alagoas	421149	835010	1960	33.526727110182705
AM	13	Amazonas	236654	478120	1960	33.10892673768212
AP	16	Amapá	35241	33279	1960	51.43169877408056
BA	29	Bahia	2049174	3869878	1960	34.61996954917781
CE	23	Ceará	1103442	2186153	1960	33.543399719418346
DF	53	Distrito Federal	88295	51501	1960	63.159890125611604
ES	32	Espírito Santo	403464	1014884	1960	28.44605132167846
GO	52	Goiás	482485	1111303	1960	30.27284682780897
MA	21	Maranhão	442995	2034376	1960	17.881657612041153
MG	31	Minas Gerais	3964574	5995466	1960	39.80479998072297
MS	50	Mato Grosso do Sul	222374	349644	1960	38.875350076396195
MT	51	Mato Grosso	126812	198033	1960	39.03769490064492
PA	15	Pará	623816	914377	1960	40.5551188960033
PB	25	Paraíba	695805	1295340	1960	34.94496884958152
PE	26	Pernambuco	1828424	2252177	1960	44.80771337359374
PI	22	Piauí	292420	956778	1960	23.40861896993111
PR	41	Paraná	1310966	2952755	1960	30.746993060756086
RJ	33	Rio de Janeiro	5252630	1397016	1960	78.99112223417607
RN	24	Rio Grande do Norte	427546	713277	1960	37.476979338600295
RO	11	Rondônia	30626	39606	1960	43.60690283631393
RR	14	Roraima	12460	16411	1960	43.15749367877801
RS	43	Rio Grande do Sul	2412278	2976381	1960	44.765831350619884
SC	42	Santa Catarina	688358	1430894	1960	32.48117732105479
SE	28	Sergipe	291109	460669	1960	38.722734637087015
SP	35	São Paulo	8044389	4779417	1960	62.73012083932024
TO	17	Tocantins	98040	225632	1960	30.289923132059617
AC	12	Acre	59439	155860	1970	27.607652613342374
AL	27	Alagoas	631973	956095	1970	39.79508434147656
AM	13	Amazonas	406052	549151	1970	42.50949798105743
AP	16	Amapá	62400	51830	1970	54.62663048236015
BA	29	Bahia	3086383	4407054	1970	41.187815417678166
CE	23	Ceará	1781068	2580535	1970	40.835170005156364
DF	53	Distrito Federal	516007	21485	1970	96.00273120344117
ES	32	Espírito Santo	722214	877110	1970	45.157454024325276
GO	52	Goiás	1109501	1307389	1970	45.90614384601699
MA	21	Maranhão	753466	2239212	1970	25.17698195395562
MG	31	Minas Gerais	6063298	5422365	1970	52.79014367738284
MS	50	Mato Grosso do Sul	451692	546468	1970	45.25246453474393
MT	51	Mato Grosso	232165	366684	1970	38.76853764471511
PA	15	Pará	1021195	1145803	1970	47.1248704428892
PB	25	Paraíba	1002420	1380043	1970	42.07494513031262
PE	26	Pernambuco	2811656	2350210	1970	54.469759579190935
PI	22	Piauí	537510	1143063	1970	31.983734119255754
PR	41	Paraná	2504253	4425568	1970	36.13734034400023
RJ	33	Rio de Janeiro	7906618	1088184	1970	87.90207944543971
RN	24	Rio Grande do Norte	736615	813569	1970	47.51790755161968
RO	11	Rondônia	59607	51457	1970	53.66905567960816
RR	14	Roraima	17582	23303	1970	43.003546532958296
RS	43	Rio Grande do Sul	3554239	3110602	1970	53.32818892453698
SC	42	Santa Catarina	1247158	1654502	1970	42.98084544708891
SE	28	Sergipe	415360	485319	1970	46.11631891051085
SP	35	São Paulo	14277802	3493173	1970	80.34338014655921
TO	17	Tocantins	129587	391552	1970	24.866110577024557
