ano	uf	codigo	estado	urbana_mulher	rural_mulher	urbana_homem	rural_homem
1970	AC	12	Acre	30497	72603	28942	83257
1970	AL	27	Alagoas	334653	476432	297320	479663
1970	AM	13	Amazonas	210892	262361	195160	286790
1970	AP	16	Amapá	31981	24855	30419	26975
1970	BA	29	Bahia	1631437	2199051	1454946	2208003
1970	CE	23	Ceará	945856	1285429	835212	1295106
1970	DF	53	Distrito Federal	257342	9772	258665	11713
1970	ES	32	Espírito Santo	371373	422462	350841	454648
1970	GO	52	Goiás	566055	612874	543446	694515
1970	MA	21	Maranhão	395651	1101251	357815	1137961
1970	MG	31	Minas Gerais	3150123	2628599	2913175	2793766
1970	MS	50	Mato Grosso do Sul	227558	249543	224134	296925
1970	MT	51	Mato Grosso	118510	168107	113655	198577
1970	PA	15	Pará	535150	544458	486045	601345
1970	PB	25	Paraíba	537743	701349	464677	678694
1970	PE	26	Pernambuco	1490156	1181369	1321500	1168841
1970	PI	22	Piauí	284727	567855	252783	575208
1970	PR	41	Paraná	1272518	2105013	1231735	2320555
1970	RJ	33	Rio de Janeiro	4068109	517758	3838509	570426
1970	RN	24	Rio Grande do Norte	390346	405098	346269	408471
1970	RO	11	Rondônia	29699	22395	29908	29062
1970	RR	14	Roraima	8848	10973	8734	12330
1970	RS	43	Rio Grande do Sul	1845675	1502280	1708564	1608322
1970	SC	42	Santa Catarina	636662	802261	610496	852241
1970	SE	28	Sergipe	220064	244124	195296	241195
1970	SP	35	São Paulo	7200561	1641112	7077241	1852061
1970	TO	17	Tocantins	67227	188799	62360	202753
1980	AC	12	Acre	67330	78827	64600	90519
1980	AL	27	Alagoas	512966	498662	464195	507092
1980	AM	13	Amazonas	436830	271228	419886	302584
1980	AP	16	Amapá	52991	34780	50728	36759
1980	BA	29	Bahia	2421737	2364725	2238762	2430168
1980	CE	23	Ceará	1488695	1226484	1321678	1251572
1980	DF	53	Distrito Federal	585440	17608	553554	20306
1980	ES	32	Espírito Santo	655443	348312	637696	381887
1980	GO	52	Goiás	1067267	467659	1040656	545543
1980	MA	21	Maranhão	654083	1350660	600747	1390954
1980	MG	31	Minas Gerais	4601659	2109128	4381712	2287606
1980	MS	50	Mato Grosso do Sul	459556	203871	459700	246642
1980	MT	51	Mato Grosso	325206	219056	329935	264721
1980	PA	15	Pará	858449	820851	808544	915654
1980	PB	25	Paraíba	769712	665205	679494	655935
1980	PE	26	Pernambuco	1990225	1183722	1794765	1174791
1980	PI	22	Piauí	475953	614365	421859	627019
1980	PR	41	Paraná	2270862	1507424	2201644	1649919
1980	RJ	33	Rio de Janeiro	5327307	440283	5041080	482961
1980	RN	24	Rio Grande do Norte	587072	384790	528207	398766
1980	RO	11	Rondônia	111932	119615	116236	143242
1980	RR	14	Roraima	24242	13725	24496	16658
1980	RS	43	Rio Grande do Sul	2712533	1209249	2537491	1314576
1980	SC	42	Santa Catarina	1087850	709785	1066400	764257
1980	SE	28	Sergipe	323284	259529	294567	262999
1980	SP	35	São Paulo	11180431	1338642	11016465	1506536
1980	TO	17	Tocantins	149332	211647	143843	234227
1991	AC	12	Acre	132339	73805	126181	85393
1991	AL	27	Alagoas	775679	509918	706354	522149
1991	AM	13	Amazonas	761424	281154	741330	319335
1991	AP	16	Amapá	118112	26098	116019	29168
1991	BA	29	Bahia	3650601	2359483	3366169	2491738
1991	CE	23	Ceará	2197959	1078445	1964048	1126195
1991	DF	53	Distrito Federal	792713	39831	723176	45374
1991	ES	32	Espírito Santo	983878	319183	940710	356847
1991	GO	52	Goiás	1653274	350124	1594402	421103
1991	MA	21	Maranhão	1029209	1454179	943212	1503653
1991	MG	31	Minas Gerais	6060236	1879532	5726657	2076727
1991	MS	50	Mato Grosso do Sul	715231	166107	699216	199819
1991	MT	51	Mato Grosso	736967	241036	748143	301085
1991	PA	15	Pará	1331753	1115885	1264635	1237787
1991	PB	25	Paraíba	1085577	568980	966489	580068
1991	PE	26	Pernambuco	2658409	1026730	2393245	1049471
1991	PI	22	Piauí	727060	593799	640124	621154
1991	PR	41	Paraná	3169368	1071531	3028585	1179229
1991	RJ	33	Rio de Janeiro	6341475	288630	5858166	319435
1991	RN	24	Rio Grande do Norte	875165	361684	794102	384616
1991	RO	11	Rondônia	328802	217395	330525	255970
1991	RR	14	Roraima	69924	27462	70894	49303
1991	RS	43	Rio Grande do Sul	3619559	1023066	3376983	1119062
1991	SC	42	Santa Catarina	1627833	638447	1580704	695010
1991	SE	28	Sergipe	522777	238594	480100	250405
1991	SP	35	São Paulo	14902617	1072319	14412244	1201745
1991	TO	17	Tocantins	268793	180202	261843	209025
1996	AC	12	Acre	161738	77406	153533	90916
1996	AL	27	Alagoas	868579	479544	793247	491881
1996	AM	13	Amazonas	897472	291698	868694	331415
1996	AP	16	Amapá	166113	22307	164477	26562
1996	BA	29	Bahia	4069941	2288643	3756902	2426189
1996	CE	23	Ceará	2472016	1019932	2241033	1076309
1996	DF	53	Distrito Federal	886144	61888	806104	67810
1996	ES	32	Espírito Santo	1113456	295468	1062550	331233
1996	GO	52	Goiás	1966765	290575	1906057	351570
1996	MA	21	Maranhão	1419457	1207545	1291718	1303463
1996	MG	31	Minas Gerais	6710551	1703053	6363301	1895708
1996	MS	50	Mato Grosso do Sul	810818	148156	793500	175360
1996	MT	51	Mato Grosso	841954	239662	853594	300622
1996	PA	15	Pará	1507952	1210952	1441065	1350880
1996	PB	25	Paraíba	1191337	514893	1070649	528737
1996	PE	26	Pernambuco	2880295	945422	2596560	976794
1996	PI	22	Piauí	821425	541450	734690	575520
